Offense_id,Year,Dimension,Category,Nr_of_victims,Country_id,Victim_id
103,2020,by citizenship,Democratic Republic of the Congo,8.0,3,1
104,2020,by form of exploitation,Forced labour,2.5,3,4
105,2020,by form of exploitation,Forced labour,2.5,3,5
106,2020,by form of exploitation,Forced labour,2.5,3,6
107,2020,by form of exploitation,Forced labour,2.5,3,7
108,2020,by form of exploitation,Forced labour,2.5,3,2
109,2020,by form of exploitation,Forced labour,2.5,3,3
110,2020,by form of exploitation,Forced labour,2.5,3,1
111,2020,by form of exploitation,Sexual exploitation,8.0,3,4
112,2020,by form of exploitation,Sexual exploitation,2.5,3,5
113,2020,by form of exploitation,Sexual exploitation,2.5,3,6
114,2020,by form of exploitation,Sexual exploitation,2.5,3,7
115,2020,by form of exploitation,Sexual exploitation,8.0,3,2
116,2020,by form of exploitation,Sexual exploitation,2.5,3,3
117,2020,by form of exploitation,Sexual exploitation,8.0,3,1
118,2021,Unknown,Unknown,9.0,3,4
119,2021,Unknown,Unknown,2.5,3,5
120,2021,Unknown,Unknown,2.5,3,6
121,2021,Unknown,Unknown,2.5,3,7
122,2021,Unknown,Unknown,9.0,3,2
123,2021,Unknown,Unknown,2.5,3,3
124,2021,Unknown,Unknown,12.0,3,1
125,2021,by citizenship,Angola,2.5,3,1
126,2021,by citizenship,Democratic Republic of the Congo,2.5,3,1
127,2021,by citizenship,Nigeria,8.0,3,1
128,2022,Unknown,Unknown,2.5,3,4
129,2022,Unknown,Unknown,18.0,3,5
130,2022,Unknown,Unknown,2.5,3,6
131,2022,Unknown,Unknown,2.5,3,7
132,2022,Unknown,Unknown,2.5,3,2
133,2022,Unknown,Unknown,18.0,3,3
134,2022,Unknown,Unknown,18.0,3,1
135,2022,by citizenship,China,18.0,3,1
136,2022,by form of exploitation,Forced labour,2.5,3,4
137,2022,by form of exploitation,Forced labour,2.5,3,5
138,2022,by form of exploitation,Forced labour,2.5,3,6
139,2022,by form of exploitation,Forced labour,2.5,3,7
140,2022,by form of exploitation,Sexual exploitation,2.5,3,4
141,2022,by form of exploitation,Sexual exploitation,18.0,3,5
142,2022,by form of exploitation,Sexual exploitation,2.5,3,6
143,2022,by form of exploitation,Sexual exploitation,2.5,3,7
144,2022,by form of exploitation,Sexual exploitation,18.0,3,3
145,2022,by form of exploitation,Sexual exploitation,18.0,3,1
146,2005,by form of exploitation,Forced labour,7.0,4,1
147,2005,by form of exploitation,Sexual exploitation,62.0,4,1
148,2006,by form of exploitation,Forced labour,6.0,4,1
149,2006,by form of exploitation,Sexual exploitation,57.0,4,1
150,2008,Unknown,Unknown,16.0,4,2
151,2008,Unknown,Unknown,92.0,4,3
152,2008,Unknown,Unknown,108.0,4,1
153,2008,by citizenship,Albania,108.0,4,1
154,2008,by form of exploitation,Sexual exploitation,108.0,4,1
155,2009,Unknown,Unknown,17.0,4,4
156,2009,Unknown,Unknown,5.0,4,6
157,2009,Unknown,Unknown,22.0,4,2
158,2009,Unknown,Unknown,72.0,4,3
159,2009,Unknown,Unknown,94.0,4,1
160,2009,by citizenship,Albania,94.0,4,1
161,2009,by form of exploitation,Sexual exploitation,94.0,4,1
162,2010,Unknown,Unknown,14.0,4,2
163,2010,Unknown,Unknown,83.0,4,3
164,2010,Unknown,Unknown,97.0,4,1
165,2010,by citizenship,Albania,97.0,4,1
166,2011,Unknown,Unknown,39.0,4,2
167,2011,Unknown,Unknown,45.0,4,3
168,2011,Unknown,Unknown,84.0,4,1
169,2012,Unknown,Unknown,26.0,4,2
170,2012,Unknown,Unknown,66.0,4,3
171,2012,Unknown,Unknown,92.0,4,1
172,2013,Unknown,Unknown,43.0,4,2
173,2013,Unknown,Unknown,52.0,4,3
174,2013,Unknown,Unknown,95.0,4,1
175,2014,Unknown,Unknown,45.0,4,4
176,2014,Unknown,Unknown,63.0,4,5
177,2014,Unknown,Unknown,17.0,4,6
178,2014,Unknown,Unknown,2.5,4,7
179,2014,Unknown,Unknown,62.0,4,2
180,2014,Unknown,Unknown,63.0,4,3
181,2014,Unknown,Unknown,125.0,4,1
182,2014,by country of repatriation,Ukraine,2.5,4,1
183,2015,Unknown,Unknown,31.0,4,4
184,2015,Unknown,Unknown,56.0,4,5
185,2015,Unknown,Unknown,17.0,4,6
186,2015,Unknown,Unknown,5.0,4,7
187,2015,Unknown,Unknown,48.0,4,2
188,2015,Unknown,Unknown,61.0,4,3
189,2015,Unknown,Unknown,109.0,4,1
190,2015,by form of exploitation,Forced labour,2.5,4,1
191,2015,by form of exploitation,Sexual exploitation,57.0,4,1
192,2016,Unknown,Unknown,40.0,4,4
193,2016,Unknown,Unknown,44.0,4,5
194,2016,Unknown,Unknown,2.5,4,6
195,2016,Unknown,Unknown,7.0,4,7
196,2016,Unknown,Unknown,44.0,4,2
197,2016,Unknown,Unknown,51.0,4,3
198,2016,Unknown,Unknown,95.0,4,1
199,2016,by form of exploitation,Forced labour,2.5,4,1
200,2016,by form of exploitation,Sexual exploitation,74.0,4,1
201,2016,by country of repatriation,Croatia,2.5,4,1
202,2017,Unknown,Unknown,36.0,4,4
203,2017,Unknown,Unknown,24.0,4,5
204,2017,Unknown,Unknown,31.0,4,6
205,2017,Unknown,Unknown,2.5,4,7
206,2017,Unknown,Unknown,67.0,4,2
207,2017,Unknown,Unknown,28.0,4,3
208,2017,Unknown,Unknown,95.0,4,1
209,2017,by citizenship,,60.0,4,1
210,2017,by country of repatriation,Abroad,6.0,4,1
211,2017,by country of repatriation,Albania,2.5,4,1
212,2017,by country of repatriation,Netherlands,2.5,4,1
213,2017,by country of repatriation,Norway,2.5,4,1
214,2017,by country of repatriation,Portugal,2.5,4,1
215,2017,by form of exploitation,Forced labour,2.5,4,4
216,2017,by form of exploitation,Forced labour,2.5,4,5
217,2017,by form of exploitation,Forced labour,2.5,4,6
218,2017,by form of exploitation,Forced labour,2.5,4,7
219,2017,by form of exploitation,Forced labour,2.5,4,2
220,2017,by form of exploitation,Forced labour,2.5,4,3
221,2017,by form of exploitation,Forced labour,2.5,4,1
222,2017,by form of exploitation,Sexual exploitation,16.0,4,4
223,2017,by form of exploitation,Sexual exploitation,21.0,4,5
224,2017,by form of exploitation,Sexual exploitation,2.5,4,6
225,2017,by form of exploitation,Sexual exploitation,2.5,4,7
226,2017,by form of exploitation,Sexual exploitation,16.0,4,2
227,2017,by form of exploitation,Sexual exploitation,21.0,4,3
228,2017,by form of exploitation,Sexual exploitation,37.0,4,1
229,2018,Unknown,Unknown,36.0,4,4
230,2018,Unknown,Unknown,24.0,4,5
231,2018,Unknown,Unknown,31.0,4,6
232,2018,Unknown,Unknown,2.5,4,7
233,2018,Unknown,Unknown,67.0,4,2
234,2018,Unknown,Unknown,28.0,4,3
235,2018,Unknown,Unknown,95.0,4,1
236,2018,by citizenship,,33.0,4,1
237,2018,by country of repatriation,Abroad,6.0,4,1
238,2018,by country of repatriation,Albania,2.5,4,1
239,2018,by country of repatriation,Netherlands,2.5,4,1
240,2018,by country of repatriation,Norway,2.5,4,1
241,2018,by country of repatriation,Portugal,2.5,4,1
242,2018,by form of exploitation,Forced labour,2.5,4,4
243,2018,by form of exploitation,Forced labour,2.5,4,5
244,2018,by form of exploitation,Forced labour,2.5,4,6
245,2018,by form of exploitation,Forced labour,2.5,4,7
246,2018,by form of exploitation,Forced labour,2.5,4,2
247,2018,by form of exploitation,Forced labour,2.5,4,3
248,2018,by form of exploitation,Forced labour,2.5,4,1
249,2018,by form of exploitation,Sexual exploitation,16.0,4,4
250,2018,by form of exploitation,Sexual exploitation,21.0,4,5
251,2018,by form of exploitation,Sexual exploitation,2.5,4,6
252,2018,by form of exploitation,Sexual exploitation,2.5,4,7
253,2018,by form of exploitation,Sexual exploitation,16.0,4,2
254,2018,by form of exploitation,Sexual exploitation,21.0,4,3
255,2018,by form of exploitation,Sexual exploitation,37.0,4,1
256,2019,Unknown,Unknown,46.0,4,4
257,2019,Unknown,Unknown,34.0,4,5
258,2019,Unknown,Unknown,21.0,4,6
259,2019,Unknown,Unknown,2.5,4,7
260,2019,Unknown,Unknown,67.0,4,2
261,2019,Unknown,Unknown,36.0,4,3
262,2019,Unknown,Unknown,103.0,4,1
263,2019,by citizenship,Nationals,43.0,4,1
264,2019,by country of repatriation,Abroad,2.5,4,1
265,2019,by country of repatriation,Denmark,2.5,4,1
266,2019,by form of exploitation,Forced labour,8.0,4,4
267,2019,by form of exploitation,Forced labour,2.5,4,5
268,2019,by form of exploitation,Forced labour,2.5,4,6
269,2019,by form of exploitation,Forced labour,2.5,4,7
270,2019,by form of exploitation,Forced labour,2.5,4,2
271,2019,by form of exploitation,Forced labour,2.5,4,3
272,2019,by form of exploitation,Forced labour,2.5,4,1
273,2019,by form of exploitation,Sexual exploitation,33.0,4,4
274,2019,by form of exploitation,Sexual exploitation,31.0,4,5
275,2019,by form of exploitation,Sexual exploitation,2.5,4,6
276,2019,by form of exploitation,Sexual exploitation,2.5,4,7
277,2019,by form of exploitation,Sexual exploitation,34.0,4,2
278,2019,by form of exploitation,Sexual exploitation,31.0,4,3
279,2019,by form of exploitation,Sexual exploitation,65.0,4,1
280,2020,Unknown,Unknown,35.0,4,4
281,2020,Unknown,Unknown,23.0,4,6
282,2020,Unknown,Unknown,27.0,4,5
283,2020,Unknown,Unknown,2.5,4,7
284,2020,Unknown,Unknown,58.0,4,2
285,2020,Unknown,Unknown,28.0,4,3
286,2020,Unknown,Unknown,86.0,4,1
287,2020,by citizenship,Nationals,28.0,4,1
288,2020,by country of repatriation,Abroad,2.5,4,1
289,2020,by country of repatriation,Albania,2.5,4,1
290,2020,by country of repatriation,Norway,2.5,4,1
291,2020,by country of repatriation,Serbia,2.5,4,1
292,2020,by country of repatriation,Switzerland,2.5,4,1
293,2020,by form of exploitation,Forced labour,2.5,4,4
294,2020,by form of exploitation,Forced labour,2.5,4,5
295,2020,by form of exploitation,Forced labour,2.5,4,6
296,2020,by form of exploitation,Forced labour,2.5,4,7
297,2020,by form of exploitation,Forced labour,2.5,4,2
298,2020,by form of exploitation,Forced labour,2.5,4,3
299,2020,by form of exploitation,Forced labour,2.5,4,1
300,2020,by form of exploitation,Sexual exploitation,23.0,4,4
301,2020,by form of exploitation,Sexual exploitation,24.0,4,5
302,2020,by form of exploitation,Sexual exploitation,2.5,4,6
303,2020,by form of exploitation,Sexual exploitation,2.5,4,7
304,2020,by form of exploitation,Sexual exploitation,24.0,4,2
305,2020,by form of exploitation,Sexual exploitation,24.0,4,3
306,2020,by form of exploitation,Sexual exploitation,48.0,4,1
307,2021,Unknown,Unknown,54.0,4,4
308,2021,Unknown,Unknown,45.0,4,5
309,2021,Unknown,Unknown,58.0,4,6
310,2021,Unknown,Unknown,2.5,4,7
311,2021,Unknown,Unknown,112.0,4,2
312,2021,Unknown,Unknown,47.0,4,3
313,2021,Unknown,Unknown,159.0,4,1
314,2021,by citizenship,Nationals,29.0,4,1
315,2021,by country of repatriation,Abroad,2.5,4,1
316,2021,by country of repatriation,Germany,2.5,4,1
317,2021,by form of exploitation,Forced labour,2.5,4,4
318,2021,by form of exploitation,Forced labour,5.0,4,5
319,2021,by form of exploitation,Forced labour,7.0,4,6
320,2021,by form of exploitation,Forced labour,2.5,4,7
321,2021,by form of exploitation,Forced labour,10.0,4,2
322,2021,by form of exploitation,Forced labour,6.0,4,3
323,2021,by form of exploitation,Forced labour,16.0,4,1
324,2021,by form of exploitation,Sexual exploitation,20.0,4,4
325,2021,by form of exploitation,Sexual exploitation,38.0,4,5
326,2021,by form of exploitation,Sexual exploitation,2.5,4,6
327,2021,by form of exploitation,Sexual exploitation,2.5,4,7
328,2021,by form of exploitation,Sexual exploitation,20.0,4,2
329,2021,by form of exploitation,Sexual exploitation,39.0,4,3
330,2021,by form of exploitation,Sexual exploitation,59.0,4,1
331,2022,Unknown,Unknown,48.0,4,4
332,2022,Unknown,Unknown,33.0,4,5
333,2022,Unknown,Unknown,26.0,4,6
334,2022,Unknown,Unknown,5.0,4,7
335,2022,Unknown,Unknown,74.0,4,2
336,2022,Unknown,Unknown,38.0,4,3
337,2022,Unknown,Unknown,112.0,4,1
338,2022,by citizenship,Nationals,30.0,4,1
339,2022,by citizenship,Unknown,2.5,4,1
340,2022,by country of repatriation,(specify the country),2.5,4,1
341,2022,by country of repatriation,Abroad,2.5,4,1
342,2022,by form of exploitation,Forced labour,2.5,4,4
343,2022,by form of exploitation,Forced labour,2.5,4,5
344,2022,by form of exploitation,Forced labour,2.5,4,6
345,2022,by form of exploitation,Forced labour,2.5,4,7
346,2022,by form of exploitation,Forced labour,2.5,4,2
347,2022,by form of exploitation,Forced labour,2.5,4,3
348,2022,by form of exploitation,Forced labour,5.0,4,1
349,2022,by form of exploitation,Sexual exploitation,28.0,4,4
350,2022,by form of exploitation,Sexual exploitation,30.0,4,5
351,2022,by form of exploitation,Sexual exploitation,2.5,4,6
352,2022,by form of exploitation,Sexual exploitation,2.5,4,7
353,2022,by form of exploitation,Sexual exploitation,28.0,4,2
354,2022,by form of exploitation,Sexual exploitation,32.0,4,3
355,2022,by form of exploitation,Sexual exploitation,60.0,4,1
356,2017,Unknown,Unknown,2.5,5,4
357,2017,Unknown,Unknown,2.5,5,5
358,2017,Unknown,Unknown,2.5,5,6
359,2017,Unknown,Unknown,2.5,5,7
360,2017,Unknown,Unknown,2.5,5,2
361,2017,Unknown,Unknown,2.5,5,3
362,2017,Unknown,Unknown,2.5,5,1
363,2017,by form of exploitation,Forced labour,2.5,5,4
364,2017,by form of exploitation,Forced labour,2.5,5,5
365,2017,by form of exploitation,Forced labour,2.5,5,6
366,2017,by form of exploitation,Forced labour,2.5,5,7
367,2017,by form of exploitation,Sexual exploitation,2.5,5,4
368,2017,by form of exploitation,Sexual exploitation,2.5,5,5
369,2017,by form of exploitation,Sexual exploitation,2.5,5,6
370,2017,by form of exploitation,Sexual exploitation,2.5,5,7
371,2017,by form of exploitation,Sexual exploitation,2.5,5,1
372,2018,Unknown,Unknown,2.5,5,4
373,2018,Unknown,Unknown,2.5,5,5
374,2018,Unknown,Unknown,2.5,5,6
375,2018,Unknown,Unknown,2.5,5,7
376,2018,Unknown,Unknown,2.5,5,2
377,2018,Unknown,Unknown,2.5,5,3
378,2018,Unknown,Unknown,2.5,5,1
379,2018,by form of exploitation,Forced labour,2.5,5,4
380,2018,by form of exploitation,Forced labour,2.5,5,5
381,2018,by form of exploitation,Forced labour,2.5,5,6
382,2018,by form of exploitation,Forced labour,2.5,5,7
383,2018,by form of exploitation,Forced labour,2.5,5,3
384,2018,by form of exploitation,Forced labour,2.5,5,1
385,2018,by form of exploitation,Sexual exploitation,2.5,5,4
386,2018,by form of exploitation,Sexual exploitation,2.5,5,5
387,2018,by form of exploitation,Sexual exploitation,2.5,5,6
388,2018,by form of exploitation,Sexual exploitation,2.5,5,7
389,2018,by form of exploitation,Sexual exploitation,2.5,5,1
390,2019,Unknown,Unknown,2.5,5,1
391,2019,by form of exploitation,Sexual exploitation,2.5,5,1
392,2020,Unknown,Unknown,2.5,5,1
393,2020,by form of exploitation,Forced labour,2.5,5,1
394,2020,by form of exploitation,Sexual exploitation,2.5,5,1
395,2021,Unknown,Unknown,2.5,5,5
396,2021,Unknown,Unknown,2.5,5,3
397,2021,Unknown,Unknown,2.5,5,1
398,2021,by form of exploitation,Sexual exploitation,2.5,5,5
399,2021,by form of exploitation,Sexual exploitation,2.5,5,3
400,2021,by form of exploitation,Sexual exploitation,2.5,5,1
401,2005,by form of exploitation,Sexual exploitation,27.0,6,1
402,2006,by form of exploitation,Sexual exploitation,2.5,6,1
403,2008,Unknown,Unknown,10.0,6,4
404,2008,Unknown,Unknown,32.0,6,5
405,2008,Unknown,Unknown,2.5,6,6
406,2008,Unknown,Unknown,2.5,6,7
407,2008,Unknown,Unknown,11.0,6,2
408,2008,Unknown,Unknown,32.0,6,3
409,2008,Unknown,Unknown,43.0,6,1
410,2008,by citizenship,Azerbaijan,2.5,6,1
411,2008,by citizenship,Bangladesh,8.0,6,1
412,2008,by citizenship,China,2.5,6,1
413,2008,by citizenship,India,2.5,6,1
414,2008,by citizenship,Indonesia,2.5,6,1
415,2008,by citizenship,Iraq,2.5,6,1
416,2008,by citizenship,Kazakhstan,2.5,6,1
417,2008,by citizenship,Morocco,2.5,6,1
418,2008,by citizenship,Nigeria,2.5,6,1
419,2008,by citizenship,Pakistan,2.5,6,1
420,2008,by citizenship,Philippines,2.5,6,1
421,2008,by citizenship,Moldova,2.5,6,1
422,2008,by citizenship,Russia,2.5,6,1
423,2008,by citizenship,Syria,2.5,6,1
424,2008,by citizenship,Uzbekistan,14.0,6,1
425,2008,by form of exploitation,Sexual exploitation,41.0,6,1
426,2009,Unknown,Unknown,8.0,6,4
427,2009,Unknown,Unknown,25.0,6,5
428,2009,Unknown,Unknown,2.5,6,6
429,2009,Unknown,Unknown,2.5,6,7
430,2009,Unknown,Unknown,8.0,6,2
431,2009,Unknown,Unknown,25.0,6,3
432,2009,Unknown,Unknown,33.0,6,1
433,2009,by citizenship,Bangladesh,16.0,6,1
434,2009,by citizenship,India,2.5,6,1
435,2009,by citizenship,Indonesia,2.5,6,1
436,2009,by citizenship,Iraq,6.0,6,1
437,2009,by citizenship,Kyrgyzstan,2.5,6,1
438,2009,by citizenship,Pakistan,2.5,6,1
439,2009,by citizenship,Philippines,2.5,6,1
440,2009,by citizenship,Russia,2.5,6,1
441,2009,by citizenship,Uzbekistan,2.5,6,1
442,2009,by form of exploitation,Sexual exploitation,30.0,6,1
443,2010,Unknown,Unknown,10.0,6,4
444,2010,Unknown,Unknown,139.0,6,5
445,2010,Unknown,Unknown,2.5,6,6
446,2010,Unknown,Unknown,2.5,6,7
447,2010,Unknown,Unknown,13.0,6,2
448,2010,Unknown,Unknown,139.0,6,3
449,2010,Unknown,Unknown,152.0,6,1
450,2010,by citizenship,Algeria,2.5,6,1
451,2010,by citizenship,Armenia,2.5,6,1
452,2010,by citizenship,Bangladesh,8.0,6,1
453,2010,by citizenship,China,2.5,6,1
454,2010,by citizenship,Ethiopia,2.5,6,1
455,2010,by citizenship,India,20.0,6,1
456,2010,by citizenship,Indonesia,9.0,6,1
457,2010,by citizenship,Iraq,7.0,6,1
458,2010,by citizenship,Lebanon,8.0,6,1
459,2010,by citizenship,Morocco,2.5,6,1
460,2010,by citizenship,Pakistan,2.5,6,1
461,2010,by citizenship,Philippines,53.0,6,1
462,2010,by citizenship,Sri Lanka,2.5,6,1
463,2010,by citizenship,Thailand,23.0,6,1
464,2010,by citizenship,UAE,2.5,6,1
465,2010,by citizenship,Uzbekistan,5.0,6,1
466,2010,by country of repatriation,Indonesia,2.5,6,1
467,2010,by country of repatriation,Kazakhstan,8.0,6,1
468,2010,by country of repatriation,Kyrgyzstan,2.5,6,1
469,2010,by country of repatriation,Nepal,2.5,6,1
470,2010,by country of repatriation,Moldova,29.0,6,1
471,2010,by country of repatriation,Tajikistan,9.0,6,1
472,2010,by country of repatriation,Thailand,17.0,6,1
473,2010,by country of repatriation,Ukraine,2.5,6,1
474,2010,by country of repatriation,Tanzania,2.5,6,1
475,2010,by form of exploitation,Forced labour,2.5,6,1
476,2010,by form of exploitation,Sexual exploitation,139.0,6,1
477,2011,Unknown,Unknown,2.5,6,4
478,2011,Unknown,Unknown,44.0,6,5
479,2011,Unknown,Unknown,2.5,6,6
480,2011,Unknown,Unknown,2.5,6,7
481,2011,Unknown,Unknown,5.0,6,2
482,2011,Unknown,Unknown,46.0,6,3
483,2011,Unknown,Unknown,51.0,6,1
484,2011,by citizenship,Bangladesh,12.0,6,1
485,2011,by citizenship,China,2.5,6,1
486,2011,by citizenship,India,2.5,6,1
487,2011,by citizenship,Indonesia,5.0,6,1
488,2011,by citizenship,Kyrgyzstan,2.5,6,1
489,2011,by citizenship,Lebanon,8.0,6,1
490,2011,by citizenship,Morocco,2.5,6,1
491,2011,by citizenship,Nepal,2.5,6,1
492,2011,by citizenship,Nigeria,2.5,6,1
493,2011,by citizenship,Pakistan,8.0,6,1
494,2011,by citizenship,Philippines,2.5,6,1
495,2011,by citizenship,Turkmenistan,2.5,6,1
496,2011,by citizenship,UAE,2.5,6,1
497,2011,by citizenship,Uzbekistan,2.5,6,1
498,2011,by country of repatriation,Kazakhstan,2.5,6,1
499,2011,by country of repatriation,Moldova,15.0,6,1
500,2011,by form of exploitation,Sexual exploitation,51.0,6,1
501,2012,Unknown,Unknown,9.0,6,4
502,2012,Unknown,Unknown,66.0,6,5
503,2012,Unknown,Unknown,2.5,6,6
504,2012,Unknown,Unknown,2.5,6,7
505,2012,Unknown,Unknown,9.0,6,2
506,2012,Unknown,Unknown,66.0,6,3
507,2012,Unknown,Unknown,75.0,6,1
508,2012,by citizenship,Bangladesh,16.0,6,1
509,2012,by citizenship,Colombia,2.5,6,1
510,2012,by citizenship,Dominican Republic,2.5,6,1
511,2012,by citizenship,Ethiopia,2.5,6,1
512,2012,by citizenship,India,5.0,6,1
513,2012,by citizenship,Indonesia,7.0,6,1
514,2012,by citizenship,Lebanon,8.0,6,1
515,2012,by citizenship,Morocco,2.5,6,1
516,2012,by citizenship,Nigeria,2.5,6,1
517,2012,by citizenship,Pakistan,20.0,6,1
518,2012,by citizenship,Philippines,9.0,6,1
519,2012,by citizenship,Moldova,2.5,6,1
520,2012,by citizenship,Sri Lanka,2.5,6,1
521,2012,by citizenship,Tajikistan,2.5,6,1
522,2012,by citizenship,UAE,2.5,6,1
523,2012,by citizenship,Uzbekistan,2.5,6,1
524,2012,by country of repatriation,Azerbaijan,2.5,6,1
525,2012,by country of repatriation,Colombia,2.5,6,1
526,2012,by country of repatriation,Indonesia,9.0,6,1
527,2012,by country of repatriation,Kazakhstan,2.5,6,1
528,2012,by country of repatriation,Moldova,8.0,6,1
529,2012,by country of repatriation,Tajikistan,2.5,6,1
530,2012,by country of repatriation,Tunisia,87.0,6,1
531,2012,by country of repatriation,Ukraine,2.5,6,1
532,2012,by country of repatriation,Uzbekistan,70.0,6,1
533,2012,by form of exploitation,Sexual exploitation,75.0,6,1
534,2013,Unknown,Unknown,5.0,6,4
535,2013,Unknown,Unknown,19.0,6,5
536,2013,Unknown,Unknown,2.5,6,6
537,2013,Unknown,Unknown,2.5,6,7
538,2013,Unknown,Unknown,5.0,6,2
539,2013,Unknown,Unknown,19.0,6,3
540,2013,Unknown,Unknown,24.0,6,1
541,2013,by citizenship,Bangladesh,5.0,6,1
